City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
550,Jawhar,SO,76.6,light rain,2.7809,45.5005,Hotel Shabelle
552,Bubaque,GW,83.8,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
553,Kununurra,AU,80.58,few clouds,-15.7667,128.7333,Hotel Kununurra
559,Rosita,NI,90.7,scattered clouds,13.9268,-84.4032,Hospedaje Zeledón
561,Bosaso,SO,80.35,scattered clouds,11.2842,49.1816,Red Sea Hotel
563,Sambava,MG,70.41,light rain,-14.2667,50.1667,Melrose
564,Umarkot,PK,73.71,clear sky,25.3616,69.7362,Al-Qamar Boys Hostel
570,Cabedelo,BR,81.27,overcast clouds,-6.9811,-34.8339,Pousada Camboinha
574,Carrollton,US,82.17,broken clouds,32.9537,-96.8903,Lone Star Inn
577,Temerloh,MY,74.98,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
578,Conceicao Do Araguaia,BR,73.81,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
580,Sinnamary,GF,78.13,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
583,Riyadh,SA,78.94,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
586,Miragoane,HT,82.24,light rain,18.4423,-73.0876,Wj hotel
588,Atambua,ID,75.74,overcast clouds,-9.1061,124.8925,Ros Muskanan
589,Atar,MR,83.12,overcast clouds,20.5169,-13.0499,Oumou Elghoura
590,Neuquen,AR,87.69,clear sky,-38.9516,-68.0591,Hotel del Comahue
594,Axim,GH,78.26,moderate rain,4.8699,-2.2405,Axim Beach Resort And Spa
597,Luwuk,ID,77.56,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
601,Matinha,BR,75.04,light rain,-3.1006,-45.0336,Hotel do Posto e Conveniência
602,Hirara,JP,77.49,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
603,San Policarpo,PH,80.94,broken clouds,12.1791,125.5072,Agapita M. Nicart
605,Liku,ID,74.25,overcast clouds,-0.7275,119.8922,Kost annisa
609,Akyab,MM,72.81,scattered clouds,20.15,92.9,ဟိုတယ် မန်မိုရီ
610,Port Lincoln,AU,70.43,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
616,Sibolga,ID,74.64,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
617,Port Hedland,AU,68.05,clear sky,-20.3167,118.5667,The Esplanade Hotel
618,Road Town,VG,82.49,broken clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
624,Abu Dhabi,AE,82.42,clear sky,24.4667,54.3667,Beach Rotana
627,Morant Bay,JM,85.62,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
631,Ternate,ID,81.72,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
632,Basco,PH,79.52,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
641,Harlingen,US,87.06,broken clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
642,Moron,AR,80.8,scattered clouds,-34.6534,-58.6198,Hotel Morón
651,Portobelo,PA,80.04,light rain,9.55,-79.65,Scuba Portobelo
661,La Romana,DO,84.56,broken clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
664,Gizo,SB,82.85,light rain,-8.103,156.8419,Imagination Island
665,Alice Springs,AU,74.75,scattered clouds,-23.7,133.8833,Desert Palms Alice Springs
666,Nacozari,MX,85.1,scattered clouds,25.3366,-108.2574,El Llano
667,Sur,OM,80.83,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
676,Odweyne,SO,76.96,broken clouds,9.4092,45.064,Eng Hiirey House
678,Xuddur,SO,74.01,scattered clouds,4.1213,43.8894,Banjanay Hotel
680,Carauari,BR,82.18,overcast clouds,-4.8828,-66.8958,Hotel Fellip
682,Benguela,AO,75.4,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
683,Lajedo,BR,72.95,broken clouds,-8.6636,-36.32,Pousada Correia
684,Cuencame,MX,82.38,clear sky,24.8711,-103.6964,HOTEL RICOME
689,Misratah,LY,68.92,clear sky,32.3754,15.0925,Almasa Hotel
696,Tallahassee,US,85.08,scattered clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
698,Mazatlan,MX,81.91,clear sky,23.2167,-106.4167,Hotel La Siesta
700,Doume,CM,72.52,broken clouds,4.2333,13.45,Hotel Universel
704,Greenwood,US,75.36,clear sky,34.1668,-82.1165,Quality Inn Greenwood Hwy 25
